1,2,3,4,5
831,5586.51,0,690561,573856191
832,5594.23,0,692224,575930368
833,5601.95,0,693889,578009537
834,5609.68,0,695556,580093704
835,5617.41,0,697225,582182875
836,5625.13,0,698896,584277056
837,5632.86,0,700569,586376253
838,5640.59,0,702244,588480472
839,5648.32,0,703921,590589719
840,5656.06,0,705600,592704000
841,5663.79,0,707281,594823321
842,5671.53,0,708964,596947688
843,5679.26,0,710649,599077107
844,5687,0,712336,601211584
845,5694.74,0,714025,603351125
846,5702.48,0,715716,605495736
847,5710.22,0,717409,607645423
848,5717.96,0,719104,609800192
849,5725.71,0,720801,611960049
850,5733.45,0,722500,614125000
851,5741.2,0,724201,616295051
852,5748.94,0,725904,618470208
853,5756.69,0,727609,620650477
854,5764.44,0,729316,622835864
855,5772.19,0,731025,625026375
856,5779.94,0,732736,627222016
857,5787.7,0,734449,629422793
858,5795.45,0,736164,631628712
859,5803.21,0,737881,633839779
860,5810.96,0,739600,636056000
861,5818.72,0,741321,638277381
862,5826.48,0,743044,640503928
863,5834.24,0,744769,642735647
864,5842,0,746496,644972544
865,5849.76,0,748225,647214625
866,5857.52,0,749956,649461896
867,5865.29,0,751689,651714363
868,5873.05,0,753424,653972032
869,5880.82,0,755161,656234909
870,5888.59,0,756900,658503000
871,5896.36,0,758641,660776311
872,5904.13,0,760384,663054848
873,5911.9,0,762129,665338617
874,5919.67,0,763876,667627624
875,5927.45,0,765625,669921875
876,5935.22,0,767376,672221376
877,5943,0,769129,674526133
878,5950.77,0,770884,676836152
879,5958.55,0,772641,679151439
